EU753,timber,diversityArea,carbon,diversity,id,type
Afghanistan,,,,,3,Timber exposed zone
Albania,,,,,3,Timber exposed zone
Algeria,,,,,3,Timber exposed zone
Angola,,,,,3,Timber exposed zone
Argentina,,,,,3,Timber exposed zone
Armenia,,,,,3,Timber exposed zone
Australia,,,,,3,Timber exposed zone
Azerbaijan,,,,,3,Timber exposed zone
Bahamas,,,,,3,Timber exposed zone
Bangladesh,,,,,3,Timber exposed zone
Belarus,30108.0324599617,30108.0324599617,24.3418073654175,4.99490106105804,3,Timber exposed zone
Belize,,,,,3,Timber exposed zone
Benin,,,,,3,Timber exposed zone
Bhutan,,,,,3,Timber exposed zone
Bolivia,,,,,3,Timber exposed zone
Bosnia and Herzegovina,,,,,3,Timber exposed zone
Botswana,,,,,3,Timber exposed zone
Brazil,,,,,3,Timber exposed zone
Brunei Darussalam,,,,,3,Timber exposed zone
Burkina Faso,,,,,3,Timber exposed zone
Burundi,,,,,3,Timber exposed zone
Cambodia,,,,,3,Timber exposed zone
Cameroon,,,,,3,Timber exposed zone
Canada,55552.4061200493,55552.4061200493,57.7153444290161,3.49827269145421,3,Timber exposed zone
Central African Republic,,,,,3,Timber exposed zone
Chad,,,,,3,Timber exposed zone
Chile,,,,,3,Timber exposed zone
China,,,,,3,Timber exposed zone
Colombia,,,,,3,Timber exposed zone
Costa Rica,,,,,3,Timber exposed zone
Cote d'Ivoire,,,,,3,Timber exposed zone
Cuba,,,,,3,Timber exposed zone
Dem. Rep. Korea,,,,,3,Timber exposed zone
Democratic Republic of the Congo,,,,,3,Timber exposed zone
Djibouti,,,,,3,Timber exposed zone
Dominican Republic,,,,,3,Timber exposed zone
Ecuador,,,,,3,Timber exposed zone
Egypt,,,,,3,Timber exposed zone
El Salvador,,,,,3,Timber exposed zone
Equatorial Guinea,,,,,3,Timber exposed zone
Eritrea,,,,,3,Timber exposed zone
Ethiopia,,,,,3,Timber exposed zone
EU,11803783.1742053,11803783.1742053,12313.4854722023,4.18862737810146,3,Timber exposed zone
Fiji,,,,,3,Timber exposed zone
Franch_GYN,,,,,3,Timber exposed zone
Gabon,,,,,3,Timber exposed zone
Georgia,,,,,3,Timber exposed zone
Ghana,,,,,3,Timber exposed zone
Guatemala,,,,,3,Timber exposed zone
Guinea,,,,,3,Timber exposed zone
Guinea-Bissau,,,,,3,Timber exposed zone
Guyana,,,,,3,Timber exposed zone
Haiti,,,,,3,Timber exposed zone
Honduras,,,,,3,Timber exposed zone
Iceland,,,,,3,Timber exposed zone
India,,,,,3,Timber exposed zone
Indonesia,,,,,3,Timber exposed zone
Iran,,,,,3,Timber exposed zone
Iraq,,,,,3,Timber exposed zone
Israel,,,,,3,Timber exposed zone
Jamaica,,,,,3,Timber exposed zone
Japan,,,,,3,Timber exposed zone
Jordan,,,,,3,Timber exposed zone
Kazakhstan,,,,,3,Timber exposed zone
Kenya,,,,,3,Timber exposed zone
Kingdom of eSwatini,,,,,3,Timber exposed zone
Kosovo,,,,,3,Timber exposed zone
Kuwait,,,,,3,Timber exposed zone
Kyrgyzstan,,,,,3,Timber exposed zone
Lao PDR,,,,,3,Timber exposed zone
Lebanon,,,,,3,Timber exposed zone
Lesotho,,,,,3,Timber exposed zone
Liberia,,,,,3,Timber exposed zone
Libya,,,,,3,Timber exposed zone
Madagascar,,,,,3,Timber exposed zone
Malawi,,,,,3,Timber exposed zone
Malaysia,,,,,3,Timber exposed zone
Mali,,,,,3,Timber exposed zone
Mauritania,,,,,3,Timber exposed zone
Mexico,,,,,3,Timber exposed zone
Moldova,,,,,3,Timber exposed zone
Mongolia,,,,,3,Timber exposed zone
Montenegro,,,,,3,Timber exposed zone
Morocco,,,,,3,Timber exposed zone
Mozambique,,,,,3,Timber exposed zone
Myanmar,,,,,3,Timber exposed zone
Namibia,,,,,3,Timber exposed zone
Nepal,,,,,3,Timber exposed zone
New Caledonia,,,,,3,Timber exposed zone
New Zealand,,,,,3,Timber exposed zone
Nicaragua,,,,,3,Timber exposed zone
Niger,,,,,3,Timber exposed zone
Nigeria,,,,,3,Timber exposed zone
North Macedonia,,,,,3,Timber exposed zone
Northern Cyprus,,,,,3,Timber exposed zone
Norway,690962.796435858,690962.796435858,914.174398422241,4.55065894771267,3,Timber exposed zone
Oman,,,,,3,Timber exposed zone
Pakistan,,,,,3,Timber exposed zone
Palestine,,,,,3,Timber exposed zone
Panama,,,,,3,Timber exposed zone
Papua New Guinea,,,,,3,Timber exposed zone
Paraguay,,,,,3,Timber exposed zone
Peru,,,,,3,Timber exposed zone
Philippines,,,,,3,Timber exposed zone
Puerto Rico,,,,,3,Timber exposed zone
Qatar,,,,,3,Timber exposed zone
Republic of Korea,,,,,3,Timber exposed zone
Republic of the Congo,,,,,3,Timber exposed zone
Russian Federation,367730.443270974,367730.443270974,334.142663836479,4.1456189111427,3,Timber exposed zone
Rwanda,,,,,3,Timber exposed zone
Saudi Arabia,,,,,3,Timber exposed zone
Senegal,,,,,3,Timber exposed zone
Serbia,,,,,3,Timber exposed zone
Sierra Leone,,,,,3,Timber exposed zone
Solomon Islands,,,,,3,Timber exposed zone
Somalia,,,,,3,Timber exposed zone
Somaliland,,,,,3,Timber exposed zone
South Africa,,,,,3,Timber exposed zone
South Sudan,,,,,3,Timber exposed zone
Sri Lanka,,,,,3,Timber exposed zone
Sudan,,,,,3,Timber exposed zone
Suriname,,,,,3,Timber exposed zone
Switzerland,25606.3939098976,25606.3939098976,27.6911067962647,4.42268363634745,3,Timber exposed zone
Syria,,,,,3,Timber exposed zone
Tajikistan,,,,,3,Timber exposed zone
Tanzania,,,,,3,Timber exposed zone
Thailand,,,,,3,Timber exposed zone
The Gambia,,,,,3,Timber exposed zone
Timor-Leste,,,,,3,Timber exposed zone
Togo,,,,,3,Timber exposed zone
Trinidad and Tobago,,,,,3,Timber exposed zone
Tunisia,,,,,3,Timber exposed zone
Turkey,,,,,3,Timber exposed zone
Turkmenistan,,,,,3,Timber exposed zone
Uganda,,,,,3,Timber exposed zone
Ukraine,8273.74969956055,8273.74969956055,7.87517261505127,3.09349322319031,3,Timber exposed zone
United Arab Emirates,,,,,3,Timber exposed zone
United Kingdom,15635.3575451248,15635.3575451248,20.349271774292,4.15659928321838,3,Timber exposed zone
United States,,,,,3,Timber exposed zone
Uruguay,,,,,3,Timber exposed zone
Uzbekistan,,,,,3,Timber exposed zone
Vanuatu,,,,,3,Timber exposed zone
Venezuela,,,,,3,Timber exposed zone
Vietnam,,,,,3,Timber exposed zone
Western Sahara,,,,,3,Timber exposed zone
Yemen,,,,,3,Timber exposed zone
Zambia,,,,,3,Timber exposed zone
Zimbabwe,,,,,3,Timber exposed zone
Afghanistan,,,,,5,Diversity exposed zone
Albania,,,,,5,Diversity exposed zone
Algeria,,,,,5,Diversity exposed zone
Angola,,,,,5,Diversity exposed zone
Argentina,,,,,5,Diversity exposed zone
Armenia,,,,,5,Diversity exposed zone
Australia,,48974.8280116402,50.0101661682129,38.9714534759522,5,Diversity exposed zone
Azerbaijan,,,,,5,Diversity exposed zone
Bahamas,,,,,5,Diversity exposed zone
Bangladesh,,,,,5,Diversity exposed zone
Belarus,,,,,5,Diversity exposed zone
Belize,,,,,5,Diversity exposed zone
Benin,,12205.1819241917,9.37446784973145,25.5736637115479,5,Diversity exposed zone
Bhutan,,,,,5,Diversity exposed zone
Bolivia,,,,,5,Diversity exposed zone
Bosnia and Herzegovina,,,,,5,Diversity exposed zone
Botswana,,,,,5,Diversity exposed zone
Brazil,,,,,5,Diversity exposed zone
Brunei Darussalam,,,,,5,Diversity exposed zone
Burkina Faso,,,,,5,Diversity exposed zone
Burundi,,,,,5,Diversity exposed zone
Cambodia,,,,,5,Diversity exposed zone
Cameroon,,,,,5,Diversity exposed zone
Canada,,52450.8111144486,56.2660050392151,7.60476811726888,5,Diversity exposed zone
Central African Republic,,,,,5,Diversity exposed zone
Chad,,,,,5,Diversity exposed zone
Chile,,,,,5,Diversity exposed zone
China,,,,,5,Diversity exposed zone
Colombia,,,,,5,Diversity exposed zone
Costa Rica,,,,,5,Diversity exposed zone
Cote d'Ivoire,,,,,5,Diversity exposed zone
Cuba,,,,,5,Diversity exposed zone
Dem. Rep. Korea,,,,,5,Diversity exposed zone
Democratic Republic of the Congo,,,,,5,Diversity exposed zone
Djibouti,,,,,5,Diversity exposed zone
Dominican Republic,,,,,5,Diversity exposed zone
Ecuador,,24616.8245978748,12.1249675750732,182.010841369629,5,Diversity exposed zone
Egypt,,,,,5,Diversity exposed zone
El Salvador,,,,,5,Diversity exposed zone
Equatorial Guinea,,,,,5,Diversity exposed zone
Eritrea,,,,,5,Diversity exposed zone
Ethiopia,,,,,5,Diversity exposed zone
EU,,179671.074883371,184.287224292755,5.70655358355978,5,Diversity exposed zone
Fiji,,,,,5,Diversity exposed zone
Franch_GYN,,12280.6142163248,1.05072331428528,123.884094238281,5,Diversity exposed zone
Gabon,,12302.1362447252,3.24949336051941,58.2447319030762,5,Diversity exposed zone
Georgia,,,,,5,Diversity exposed zone
Ghana,,,,,5,Diversity exposed zone
Guatemala,,,,,5,Diversity exposed zone
Guinea,,,,,5,Diversity exposed zone
Guinea-Bissau,,,,,5,Diversity exposed zone
Guyana,,,,,5,Diversity exposed zone
Haiti,,,,,5,Diversity exposed zone
Honduras,,,,,5,Diversity exposed zone
Iceland,,,,,5,Diversity exposed zone
India,,,,,5,Diversity exposed zone
Indonesia,,,,,5,Diversity exposed zone
Iran,,,,,5,Diversity exposed zone
Iraq,,,,,5,Diversity exposed zone
Israel,,,,,5,Diversity exposed zone
Jamaica,,,,,5,Diversity exposed zone
Japan,,,,,5,Diversity exposed zone
Jordan,,,,,5,Diversity exposed zone
Kazakhstan,,,,,5,Diversity exposed zone
Kenya,,,,,5,Diversity exposed zone
Kingdom of eSwatini,,,,,5,Diversity exposed zone
Kosovo,,,,,5,Diversity exposed zone
Kuwait,,,,,5,Diversity exposed zone
Kyrgyzstan,,,,,5,Diversity exposed zone
Lao PDR,,,,,5,Diversity exposed zone
Lebanon,,,,,5,Diversity exposed zone
Lesotho,,,,,5,Diversity exposed zone
Liberia,,,,,5,Diversity exposed zone
Libya,,,,,5,Diversity exposed zone
Madagascar,,,,,5,Diversity exposed zone
Malawi,,,,,5,Diversity exposed zone
Malaysia,,,,,5,Diversity exposed zone
Mali,,,,,5,Diversity exposed zone
Mauritania,,,,,5,Diversity exposed zone
Mexico,,,,,5,Diversity exposed zone
Moldova,,,,,5,Diversity exposed zone
Mongolia,,,,,5,Diversity exposed zone
Montenegro,,,,,5,Diversity exposed zone
Morocco,,,,,5,Diversity exposed zone
Mozambique,,,,,5,Diversity exposed zone
Myanmar,,,,,5,Diversity exposed zone
Namibia,,,,,5,Diversity exposed zone
Nepal,,,,,5,Diversity exposed zone
New Caledonia,,,,,5,Diversity exposed zone
New Zealand,,,,,5,Diversity exposed zone
Nicaragua,,,,,5,Diversity exposed zone
Niger,,,,,5,Diversity exposed zone
Nigeria,,,,,5,Diversity exposed zone
North Macedonia,,,,,5,Diversity exposed zone
Northern Cyprus,,,,,5,Diversity exposed zone
Norway,,18298.997271273,15.6486202478409,8.8007173538208,5,Diversity exposed zone
Oman,,,,,5,Diversity exposed zone
Pakistan,,,,,5,Diversity exposed zone
Palestine,,,,,5,Diversity exposed zone
Panama,,,,,5,Diversity exposed zone
Papua New Guinea,,24438.5975681775,19.8150329589844,119.608283996582,5,Diversity exposed zone
Paraguay,,,,,5,Diversity exposed zone
Peru,,,,,5,Diversity exposed zone
Philippines,,,,,5,Diversity exposed zone
Puerto Rico,,,,,5,Diversity exposed zone
Qatar,,,,,5,Diversity exposed zone
Republic of Korea,,,,,5,Diversity exposed zone
Republic of the Congo,,,,,5,Diversity exposed zone
Russian Federation,,88498.262659961,88.3228094577789,5.57629882372343,5,Diversity exposed zone
Rwanda,,,,,5,Diversity exposed zone
Saudi Arabia,,,,,5,Diversity exposed zone
Senegal,,,,,5,Diversity exposed zone
Serbia,,,,,5,Diversity exposed zone
Sierra Leone,,,,,5,Diversity exposed zone
Solomon Islands,,,,,5,Diversity exposed zone
Somalia,,,,,5,Diversity exposed zone
Somaliland,,,,,5,Diversity exposed zone
South Africa,,,,,5,Diversity exposed zone
South Sudan,,,,,5,Diversity exposed zone
Sri Lanka,,,,,5,Diversity exposed zone
Sudan,,,,,5,Diversity exposed zone
Suriname,,,,,5,Diversity exposed zone
Switzerland,,,,,5,Diversity exposed zone
Syria,,,,,5,Diversity exposed zone
Tajikistan,,,,,5,Diversity exposed zone
Tanzania,,,,,5,Diversity exposed zone
Thailand,,,,,5,Diversity exposed zone
The Gambia,,,,,5,Diversity exposed zone
